Name,Year Published,Min Players,Max Players,Play Time,Users Rated,Rating Average,Complexity Average,Mechanics
The Manhattan Project 2: Minutes to Midnight,2018,2,5,150,625,7.38552,3.5667, Take That
The Manhattan Project 2: Minutes to Midnight,2018,2,5,150,625,7.38552,3.5667, Worker Placement
The Manhattan Project 2: Minutes to Midnight,2018,2,5,150,625,7.38552,3.5667, Worker Placement
The Manhattan Project 2: Minutes to Midnight,2018,2,5,150,625,7.38552,3.5667, Different Worker Types
Raid on St. Nazaire,1987,1,1,180,794,7.21294,3,Area Movement
Raid on St. Nazaire,1987,1,1,180,794,7.21294,3, Dice Rolling
Raid on St. Nazaire,1987,1,1,180,794,7.21294,3, Events
Raid on St. Nazaire,1987,1,1,180,794,7.21294,3, Movement Points
Raid on St. Nazaire,1987,1,1,180,794,7.21294,3, Paper-and-Pencil
Raid on St. Nazaire,1987,1,1,180,794,7.21294,3, Point to Point Movement
Raid on St. Nazaire,1987,1,1,180,794,7.21294,3, Simulation
Raid on St. Nazaire,1987,1,1,180,794,7.21294,3, Solo / Solitaire Game
Raid on St. Nazaire,1987,1,1,180,794,7.21294,3, Variable Set-up
Walk the Plank!,2013,3,5,20,1697,6.57883,1.2561,Action Queue
Walk the Plank!,2013,3,5,20,1697,6.57883,1.2561, Player Elimination
Walk the Plank!,2013,3,5,20,1697,6.57883,1.2561, Simultaneous Action Selection
Walk the Plank!,2013,3,5,20,1697,6.57883,1.2561, Take That
Walk the Plank!,2013,3,5,20,1697,6.57883,1.2561, Turn Order: Progressive
1861: The Railways of the Russian Empire,2006,3,6,360,532,7.55485,4.2083,Auction/Bidding
1861: The Railways of the Russian Empire,2006,3,6,360,532,7.55485,4.2083, Network and Route Building
1861: The Railways of the Russian Empire,2006,3,6,360,532,7.55485,4.2083, Stock Holding
1861: The Railways of the Russian Empire,2006,3,6,360,532,7.55485,4.2083, Tile Placement
Lift Off,2018,2,4,120,725,7.19487,2.7826,Card Drafting
Lift Off,2018,2,4,120,725,7.19487,2.7826, Set Collection
Mutant Chronicles: Siege of the Citadel,1993,2,5,120,1022,7.01595,2.2333,Action Points
Mutant Chronicles: Siege of the Citadel,1993,2,5,120,1022,7.01595,2.2333, Grid Movement
Mutant Chronicles: Siege of the Citadel,1993,2,5,120,1022,7.01595,2.2333, Modular Board
Mutant Chronicles: Siege of the Citadel,1993,2,5,120,1022,7.01595,2.2333, Variable Player Powers
WildLife,2002,2,6,120,1345,6.65846,3.0692,Area Majority / Influence
WildLife,2002,2,6,120,1345,6.65846,3.0692, Auction/Bidding
WildLife,2002,2,6,120,1345,6.65846,3.0692, Tile Placement
Trias,2002,2,5,45,1998,6.44588,2.3935,Action Points
Trias,2002,2,5,45,1998,6.44588,2.3935, Area Majority / Influence
Trias,2002,2,5,45,1998,6.44588,2.3935, Modular Board
Archer: Once You Go Blackmail...,2016,2,4,30,795,7.14117,1.2632,Hand Management
Archer: Once You Go Blackmail...,2016,2,4,30,795,7.14117,1.2632, Player Elimination
The Red Dragon Inn 4,2013,2,4,60,745,7.34498,1.8,Betting and Bluffing
The Red Dragon Inn 4,2013,2,4,60,745,7.34498,1.8, Hand Management
The Red Dragon Inn 4,2013,2,4,60,745,7.34498,1.8, Variable Player Powers
DC Comics Deck-Building Game: Teen Titans,2015,2,5,75,786,7.22336,2.1111,Deck Bag and Pool Building
Dojo Kun,2015,1,4,90,927,6.98431,2.6863,Betting and Bluffing
Dojo Kun,2015,1,4,90,927,6.98431,2.6863, Dice Rolling
Dojo Kun,2015,1,4,90,927,6.98431,2.6863, Worker Placement
"Warhammer 40,000 (Third Edition)",1998,2,6,120,2338,6.51667,3.4976,Dice Rolling
"Warhammer 40,000 (Third Edition)",1998,2,6,120,2338,6.51667,3.4976, Events
"Warhammer 40,000 (Third Edition)",1998,2,6,120,2338,6.51667,3.4976, Line of Sight
"Warhammer 40,000 (Third Edition)",1998,2,6,120,2338,6.51667,3.4976, Measurement Movement
"Warhammer 40,000 (Third Edition)",1998,2,6,120,2338,6.51667,3.4976, Modular Board
"Warhammer 40,000 (Third Edition)",1998,2,6,120,2338,6.51667,3.4976, Simulation
"Warhammer 40,000 (Third Edition)",1998,2,6,120,2338,6.51667,3.4976, Variable Player Powers
Space Dealer,2006,3,4,30,1639,6.53787,2.4058,Action Timer
Space Dealer,2006,3,4,30,1639,6.53787,2.4058, Pick-up and Deliver
Space Dealer,2006,3,4,30,1639,6.53787,2.4058, Point to Point Movement
Space Dealer,2006,3,4,30,1639,6.53787,2.4058, Simultaneous Action Selection
Space Dealer,2006,3,4,30,1639,6.53787,2.4058, Trading
18MEX,2005,3,5,210,441,7.84614,3.8667,Hexagon Grid
18MEX,2005,3,5,210,441,7.84614,3.8667, Network and Route Building
18MEX,2005,3,5,210,441,7.84614,3.8667, Stock Holding
18MEX,2005,3,5,210,441,7.84614,3.8667, Tile Placement
Dice Throne: Season Two - Cursed Pirate v. Artificer,2018,2,2,40,454,7.9977,2.5714,Dice Rolling
Dice Throne: Season Two - Cursed Pirate v. Artificer,2018,2,2,40,454,7.9977,2.5714, Take That
Dice Throne: Season Two - Cursed Pirate v. Artificer,2018,2,2,40,454,7.9977,2.5714, Variable Player Powers
Leader 1,2008,2,10,150,893,6.99165,2.5152,Modular Board
Leader 1,2008,2,10,150,893,6.99165,2.5152, Race
Leader 1,2008,2,10,150,893,6.99165,2.5152, Simulation
Legendary Encounters: The X-Files Deck Building Game,2018,1,5,60,523,7.76451,2.8,Card Drafting
Legendary Encounters: The X-Files Deck Building Game,2018,1,5,60,523,7.76451,2.8, Cooperative Game
Legendary Encounters: The X-Files Deck Building Game,2018,1,5,60,523,7.76451,2.8, Deck Bag and Pool Building
Legendary Encounters: The X-Files Deck Building Game,2018,1,5,60,523,7.76451,2.8, Solo / Solitaire Game
Tiki Topple,2008,2,4,20,1960,6.46032,1.3013,Hand Management
Tiki Topple,2008,2,4,20,1960,6.46032,1.3013, Pattern Recognition
Boggle,1972,1,8,10,7006,6.20765,1.4886,Dice Rolling
Boggle,1972,1,8,10,7006,6.20765,1.4886, Paper-and-Pencil
Boggle,1972,1,8,10,7006,6.20765,1.4886, Pattern Recognition
Take 5!,1998,2,6,60,1891,6.48849,1.4717,Hand Management
Take 5!,1998,2,6,60,1891,6.48849,1.4717, Set Collection
Detroit-Cleveland Grand Prix,1996,2,6,60,1092,6.78367,1.7027,Auction/Bidding
Galactic Emperor,2008,3,6,90,1399,6.60442,2.9073,Dice Rolling
Galactic Emperor,2008,3,6,90,1399,6.60442,2.9073, Hexagon Grid
Galactic Emperor,2008,3,6,90,1399,6.60442,2.9073, Modular Board
Galactic Emperor,2008,3,6,90,1399,6.60442,2.9073, Tile Placement
Galactic Emperor,2008,3,6,90,1399,6.60442,2.9073, Variable Phase Order
Secrets,2017,4,8,35,1827,6.5006,1.4,Card Drafting
Secrets,2017,4,8,35,1827,6.5006,1.4, Push Your Luck
Secrets,2017,4,8,35,1827,6.5006,1.4, Take That
Secrets,2017,4,8,35,1827,6.5006,1.4, Team-Based Game
Strozzi,2008,3,6,60,1159,6.72857,2.2381,Commodity Speculation
Strozzi,2008,3,6,60,1159,6.72857,2.2381, Set Collection
Scattergories,1988,2,6,30,8536,6.19685,1.3841,Dice Rolling
Scattergories,1988,2,6,30,8536,6.19685,1.3841, Paper-and-Pencil
Spaceteam,2015,3,6,5,1447,6.67074,1.0857,Cooperative Game
Spaceteam,2015,3,6,5,1447,6.67074,1.0857, Hand Management
Spaceteam,2015,3,6,5,1447,6.67074,1.0857, Memory
Spaceteam,2015,3,6,5,1447,6.67074,1.0857, Trading
Escape from Atlantis,1986,2,4,60,1609,6.57543,1.5535,Action Points
Escape from Atlantis,1986,2,4,60,1609,6.57543,1.5535, Dice Rolling
Escape from Atlantis,1986,2,4,60,1609,6.57543,1.5535, Grid Movement
Escape from Atlantis,1986,2,4,60,1609,6.57543,1.5535, Map Reduction
Escape from Atlantis,1986,2,4,60,1609,6.57543,1.5535, Modular Board
Escape from Atlantis,1986,2,4,60,1609,6.57543,1.5535, Roll / Spin and Move
Escape from Atlantis,1986,2,4,60,1609,6.57543,1.5535, Take That
Rising 5: Runes of Asteros,2017,1,5,25,1476,6.59481,1.8846,Action Points
Rising 5: Runes of Asteros,2017,1,5,25,1476,6.59481,1.8846, Cooperative Game
Rising 5: Runes of Asteros,2017,1,5,25,1476,6.59481,1.8846, Deduction
Rising 5: Runes of Asteros,2017,1,5,25,1476,6.59481,1.8846, Dice Rolling
DC Comics Deck-Building Game: Rivals - Batman vs The Joker,2014,2,2,30,868,7.03566,1.8095,Deck Bag and Pool Building
Gheos,2006,2,4,60,1709,6.51059,2.4487,Area Majority / Influence
