Name,Year Published,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,Complexity Average,Owned Users,Mechanics,Domains
Agricola,2007,1,5,150,12,63498,7.94467,3.6399,75679,"Advantage Token, Automatic Resource Growth, Card Drafting, Enclosure, Hand Management, Increase Value of Unchosen Resources, Solo / Solitaire Game, Turn Order: Claim Action, Variable Player Powers, Worker Placement",Strategy Games
Blood Rage,2015,2,4,90,14,33940,7.99768,2.8801,40664,"Action Points, Area Majority / Influence, Area Movement, Card Drafting, Hand Management, Memory, Simultaneous Action Selection",Strategy Games
Mansions of Madness: Second Edition,2016,1,5,180,14,25116,8.06402,2.6855,39007,"Area Movement, Cooperative Game, Dice Rolling, Hand Management, Modular Board, Role Playing, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Team-Based Game, Traitor Game, Variable Player Powers",Thematic Games
The 7th Continent,2017,1,4,1000,14,16868,8.15063,2.865,30488,"Cooperative Game, Grid Movement, Hand Management, Map Addition, Modular Board, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Storytelling, Variable Player Powers",Thematic Games
Pandemic Legacy: Season 2,2017,2,4,60,14,12100,8.1513,3.2535,24373,"Cooperative Game, Hand Management, Legacy Game, Pick-up and Deliver, Point to Point Movement, Set Collection, Trading, Variable Player Powers",Strategy Games
Pandemic Legacy: Season 2,2017,2,4,60,14,12100,8.1513,3.2535,24373,"Cooperative Game, Hand Management, Legacy Game, Pick-up and Deliver, Point to Point Movement, Set Collection, Trading, Variable Player Powers", Thematic Games
Everdell,2018,1,4,80,13,19552,8.08185,2.8125,29225,"Card Drafting, End Game Bonuses, Hand Management, Income, Solo / Solitaire Game, Variable Set-up, Worker Placement",Family Games
Everdell,2018,1,4,80,13,19552,8.08185,2.8125,29225,"Card Drafting, End Game Bonuses, Hand Management, Income, Solo / Solitaire Game, Variable Set-up, Worker Placement", Strategy Games
Maracaibo,2019,1,4,120,12,7645,8.28552,3.8729,12042,"Contracts, End Game Bonuses, Events, Hand Management, Income, Movement Points, Narrative Choice / Paragraph, Point to Point Movement, Race, Rondel, Scenario / Mission / Campaign Game, Set Collection, Solo / Solitaire Game, Stock Holding, Sudden Death Ending, Tech Trees / Tech Tracks, Track Movement, Variable Set-up",Strategy Games
Kingdom Death: Monster,2015,1,4,180,17,7553,8.65548,4.2466,10047,"Cooperative Game, Dice Rolling, Grid Movement, Role Playing, Solo / Solitaire Game, Storytelling",Thematic Games
